species,yolo_confidence,recent_detections,historical_conflicts,settlement_proximity,temporal_pattern,environmental_context,spatial_relationship,risk_score
Tiger,88.7,10,4,1,0,1,2,62.9
Wild Boar,70.73,3,0,1,1,2,0,31.36
Leopard,84.93,5,5,2,2,2,2,78.19
Wild Boar,73.3,13,2,0,2,0,1,41.98
Asian Elephant,98.91,8,0,2,2,2,0,65.0
Asian Elephant,70.28,2,3,1,0,2,0,42.12
Spotted Deer,70.89,9,1,2,1,0,1,39.56
Spotted Deer,96.3,17,0,2,1,1,2,56.92
Leopard,60.96,18,2,1,1,1,1,52.8
Tiger,87.17,13,6,2,2,0,2,81.2
Wild Boar,88.29,1,2,2,0,2,2,51.6
Leopard,92.62,12,1,1,2,0,0,44.06
Spotted Deer,98.0,20,1,0,2,0,0,40.27
Wild Boar,98.05,20,6,1,0,2,2,81.05
Spotted Deer,62.55,5,0,1,2,0,1,30.43
Wild Boar,92.05,8,3,2,2,2,0,65.53
Tiger,85.21,15,4,1,1,2,2,73.93
Leopard,85.25,3,2,2,0,0,0,36.14
Wild Boar,65.01,6,1,2,0,1,0,35.1
Asian Elephant,85.36,13,4,2,1,2,0,70.47
Asian Elephant,98.32,12,4,1,0,1,1,57.38
Wild Boar,95.56,19,4,1,1,2,1,74.94
Wild Boar,77.13,18,3,2,2,1,2,75.85
Wild Boar,61.56,1,1,0,0,0,1,14.45
Asian Elephant,74.13,7,2,0,0,2,2,46.07
Asian Elephant,92.23,12,1,1,2,0,2,56.61
Wild Boar,87.36,10,0,2,2,0,0,46.51
Spotted Deer,77.91,12,2,2,0,0,0,38.84
Spotted Deer,62.15,11,1,1,0,2,1,39.83
Tiger,76.65,4,2,0,0,0,2,33.47
Leopard,78.29,19,0,1,1,0,2,52.31
Spotted Deer,96.21,6,5,1,0,2,0,44.75
Asian Elephant,85.0,9,2,2,0,0,0,46.27
Spotted Deer,72.15,20,5,1,2,2,0,71.26
Tiger,80.49,10,4,0,2,0,1,54.83
Tiger,62.58,5,6,1,1,1,2,63.91
Leopard,97.93,13,3,2,2,0,2,70.61
Spotted Deer,74.04,9,0,0,0,1,2,29.8
Asian Elephant,78.64,2,2,2,0,2,0,44.15
Asian Elephant,73.86,18,0,1,1,1,1,54.55
Wild Boar,86.62,1,4,1,2,2,1,52.48
Asian Elephant,85.83,12,5,1,2,0,0,58.57
Leopard,87.9,10,3,2,2,1,1,65.45
Leopard,70.46,2,0,1,1,0,1,32.33
Asian Elephant,72.31,9,5,0,2,1,2,64.39
Asian Elephant,64.88,2,4,0,2,2,0,47.09
Wild Boar,85.56,14,4,2,2,2,0,76.44
Asian Elephant,61.55,11,4,2,0,2,0,59.55
Wild Boar,83.31,11,6,2,1,2,0,72.25
Wild Boar,93.92,17,5,1,0,0,2,59.32
Asian Elephant,94.74,4,2,0,1,0,1,34.48
Tiger,77.51,13,1,0,2,0,1,45.8
Tiger,77.91,7,0,0,0,0,2,29.46
Wild Boar,63.0,16,6,2,2,0,1,73.9
Asian Elephant,86.16,1,1,2,2,2,0,48.75
Tiger,92.03,13,4,1,1,0,2,65.94
Asian Elephant,69.54,1,1,2,2,0,2,49.69
Asian Elephant,76.43,11,5,0,0,0,0,38.2
Asian Elephant,92.71,6,4,1,1,2,0,57.51
Spotted Deer,94.21,20,6,2,1,2,0,80.31
Asian Elephant,69.48,3,4,2,0,2,1,59.33
Spotted Deer,81.47,12,3,0,2,2,0,46.13
Wild Boar,67.51,5,3,1,2,0,2,51.8
Tiger,63.97,9,6,2,2,0,1,71.0
Tiger,95.53,12,5,2,2,1,1,82.48
Tiger,92.0,10,5,1,2,0,2,70.71
Tiger,89.64,19,1,1,1,2,1,62.68
Tiger,61.9,5,6,2,1,2,0,66.76
Tiger,92.91,5,0,2,0,0,0,34.57
Tiger,77.08,9,6,0,2,1,0,56.64
Wild Boar,73.35,20,1,1,2,2,0,58.9
Asian Elephant,81.31,17,5,2,2,1,1,81.95
Leopard,63.56,10,0,2,0,2,2,56.27
Spotted Deer,89.51,1,6,2,2,2,1,66.73
Leopard,82.71,16,1,2,1,0,2,63.67
Leopard,67.28,15,2,0,2,2,2,58.19
Asian Elephant,67.34,17,2,1,0,1,0,45.43
Asian Elephant,67.19,20,0,2,1,1,1,65.02
Asian Elephant,62.22,13,3,1,1,0,0,43.5
Tiger,82.92,1,0,1,1,2,1,45.94
Wild Boar,92.77,8,1,2,2,1,1,57.48
Tiger,60.68,5,4,2,0,0,0,45.28
Wild Boar,61.91,6,2,2,0,1,1,46.78
Wild Boar,82.34,20,4,0,2,0,0,54.79
Leopard,91.96,14,2,2,0,1,2,66.43
Leopard,72.74,11,1,1,1,2,0,46.97
Wild Boar,73.63,6,2,1,1,1,1,44.2
Wild Boar,83.26,11,0,0,0,1,1,30.48
Tiger,70.69,13,4,2,0,0,2,62.48
Tiger,61.04,12,5,2,2,0,2,76.14
Leopard,88.67,2,4,0,2,0,2,47.68
Asian Elephant,84.4,3,1,0,2,1,0,30.72
Wild Boar,82.65,4,5,2,2,0,0,57.79
Tiger,88.93,17,4,2,2,2,1,86.34
Leopard,86.33,6,6,1,2,0,2,64.48
Tiger,68.03,7,1,2,1,0,2,54.03
Wild Boar,73.75,15,6,2,0,2,0,67.71
Wild Boar,64.92,11,3,1,2,0,1,51.53
Spotted Deer,65.06,3,0,1,1,0,2,31.92
Asian Elephant,86.37,6,2,1,0,1,0,39.35
Spotted Deer,93.49,2,6,1,0,1,0,40.82
Leopard,97.55,14,2,0,0,0,2,42.42
Tiger,84.51,9,2,1,2,2,2,66.88
Leopard,67.18,18,3,0,2,0,1,54.54
Wild Boar,64.12,19,0,1,2,0,2,53.92
Spotted Deer,91.7,12,4,1,0,0,0,41.02
Spotted Deer,82.57,13,6,1,0,1,2,60.83
Spotted Deer,84.11,12,4,2,1,2,2,69.56
Leopard,90.48,12,0,0,1,2,1,46.11
Wild Boar,87.43,18,5,1,1,2,0,66.07
Tiger,92.54,9,0,2,1,1,2,59.36
Tiger,62.19,17,2,0,0,1,0,38.5
Leopard,89.15,16,4,0,2,0,1,55.2
Spotted Deer,93.18,17,0,2,2,1,0,56.05
Asian Elephant,71.16,8,4,0,2,0,2,54.86
Leopard,84.98,11,0,2,2,1,2,65.39
Leopard,72.25,2,1,1,1,0,1,35.59
Wild Boar,97.36,8,6,2,0,1,1,64.08
Tiger,61.3,12,2,0,2,2,1,57.16
Leopard,82.61,1,0,0,0,0,0,15.0
Leopard,66.49,13,3,1,1,1,0,48.59
Spotted Deer,87.78,17,0,2,1,1,0,48.95
Spotted Deer,66.86,14,1,1,2,0,0,38.46
Asian Elephant,69.18,14,3,2,2,1,1,66.43
Wild Boar,79.28,16,3,2,1,2,0,66.12
Asian Elephant,95.68,17,0,2,1,0,0,50.15
Spotted Deer,68.26,6,1,1,0,0,0,22.99
Tiger,65.63,7,3,1,1,0,0,40.7
Spotted Deer,89.6,1,6,0,0,0,1,33.45
Wild Boar,79.52,15,2,1,1,0,1,48.89
Spotted Deer,95.56,20,5,2,0,2,2,75.78
Wild Boar,65.72,18,2,2,1,0,2,61.76
Wild Boar,85.19,13,4,2,1,2,0,67.28
Wild Boar,69.08,2,4,1,0,2,0,43.04
Wild Boar,66.11,19,1,0,0,2,1,45.15
Wild Boar,86.65,15,3,1,2,0,2,64.73
Tiger,83.15,12,2,0,2,2,0,54.71
Asian Elephant,89.44,15,2,1,1,0,2,59.08
Leopard,72.07,18,5,2,1,2,2,86.45
Asian Elephant,77.47,14,1,0,0,0,2,39.02
Wild Boar,75.81,6,6,1,1,1,1,55.55
Tiger,98.38,12,3,2,2,1,0,72.06
Spotted Deer,71.4,20,1,0,0,2,0,39.33
Tiger,71.5,6,0,0,1,1,1,34.34
Wild Boar,73.83,9,2,2,0,2,1,55.67
Tiger,82.02,4,1,2,2,2,1,62.95
Tiger,69.84,17,1,1,2,2,2,69.39
Wild Boar,95.7,2,5,1,2,1,2,62.07
Tiger,70.36,16,6,2,1,2,0,81.98
Leopard,94.94,14,0,1,1,1,0,44.97
Leopard,64.04,8,4,2,1,1,2,66.6
Tiger,85.61,14,2,2,1,0,2,68.47
Spotted Deer,95.37,2,5,1,1,1,1,48.68
Wild Boar,66.58,16,6,1,1,0,2,64.48
Leopard,97.76,4,6,0,2,2,0,58.07
Spotted Deer,77.66,1,1,0,2,2,0,28.48
Tiger,96.88,20,2,1,1,0,1,58.11
Spotted Deer,86.4,14,4,1,2,2,1,67.82
Asian Elephant,71.76,8,6,1,0,0,0,46.5
Leopard,67.34,3,1,0,1,0,2,25.3
Tiger,71.85,5,6,1,0,2,2,66.53
Wild Boar,63.63,6,0,0,1,0,0,19.0
Tiger,65.61,8,6,0,1,0,2,59.62
Wild Boar,64.08,6,2,0,2,0,2,40.18
Tiger,76.49,6,6,0,0,2,0,52.25
Spotted Deer,91.03,4,6,2,2,2,0,67.27
Spotted Deer,65.51,7,5,1,1,2,1,53.69
Spotted Deer,65.08,19,0,1,0,2,0,40.85
Asian Elephant,85.09,7,4,2,1,2,1,68.22
Wild Boar,67.69,3,4,1,2,1,1,50.44
Spotted Deer,63.81,8,2,0,1,1,2,37.12
Asian Elephant,66.51,1,4,2,1,0,0,43.86
Wild Boar,96.03,1,3,0,2,1,2,47.6
Tiger,92.04,14,5,2,1,2,0,76.76
Asian Elephant,73.81,6,2,0,0,2,0,33.34
Leopard,85.58,10,6,1,2,2,2,79.36
Asian Elephant,80.95,14,3,1,1,0,1,50.43
Asian Elephant,86.41,4,4,1,2,0,0,46.2
Wild Boar,86.62,6,6,2,1,0,1,60.83
Tiger,84.52,16,2,1,2,0,2,68.65
Leopard,70.38,1,3,2,2,0,2,57.6
Spotted Deer,61.52,6,4,0,0,0,0,20.57
Spotted Deer,77.77,9,1,1,2,1,2,53.34
Asian Elephant,94.75,15,1,0,0,2,0,42.78
Wild Boar,82.21,12,0,1,2,1,0,42.08
Wild Boar,92.46,3,1,0,2,0,0,27.34
Spotted Deer,98.67,11,3,2,1,2,0,60.93
Leopard,66.38,15,5,1,1,2,0,61.72
Tiger,86.98,3,1,2,1,2,2,59.72
Leopard,86.3,14,2,2,2,1,0,66.65
Tiger,98.22,2,2,0,2,2,1,51.16
Spotted Deer,98.44,4,2,1,0,0,0,25.15
Tiger,86.78,19,1,2,0,0,0,52.55
Wild Boar,69.5,12,6,0,0,1,0,45.79
Asian Elephant,91.14,2,1,0,1,1,2,38.94
Asian Elephant,64.17,17,0,0,1,0,1,40.23
Spotted Deer,90.45,3,5,1,0,1,1,44.27
Wild Boar,95.5,10,6,1,2,2,1,75.38
Leopard,74.93,16,5,0,1,1,2,63.75
Wild Boar,84.59,9,6,1,1,2,2,71.58
Asian Elephant,76.78,11,6,0,0,2,0,54.94
Asian Elephant,77.07,15,4,1,1,2,2,74.85
Wild Boar,72.1,3,0,1,0,2,1,30.78
Wild Boar,89.72,16,3,0,1,2,1,56.77
Asian Elephant,96.51,12,2,0,2,0,2,57.45
Leopard,96.69,5,1,1,2,0,2,48.64
Spotted Deer,66.82,7,4,0,1,0,1,35.12
Spotted Deer,94.12,9,4,0,0,2,1,47.2
Wild Boar,88.76,18,6,0,1,1,1,61.47
Spotted Deer,69.86,8,1,0,0,1,1,24.85
Asian Elephant,62.62,12,0,1,1,2,1,46.69
Asian Elephant,70.45,20,4,2,2,1,2,84.88
Wild Boar,95.58,2,5,1,2,2,2,68.5
Wild Boar,84.69,10,0,0,1,1,0,31.45
Wild Boar,88.12,19,1,0,1,2,0,51.09
Leopard,70.03,9,6,1,1,1,0,56.91
Spotted Deer,88.06,8,0,0,2,1,2,37.29
Wild Boar,61.1,1,6,1,2,0,0,43.88
Tiger,74.64,6,5,2,0,1,0,55.02
Tiger,84.44,12,2,0,1,1,2,54.22
Asian Elephant,65.7,19,6,2,1,2,1,89.43
Spotted Deer,92.1,17,6,2,2,1,2,83.97
Wild Boar,69.17,2,1,0,1,1,2,36.26
Tiger,85.44,11,5,0,0,1,1,52.7
Spotted Deer,75.8,18,1,1,1,1,0,41.54
Asian Elephant,83.25,11,5,1,2,1,2,71.51
Leopard,64.19,18,5,0,1,0,2,57.75
Spotted Deer,60.66,8,4,1,2,1,1,51.67
Spotted Deer,95.47,15,4,2,0,2,2,71.69
Leopard,70.52,9,4,2,0,2,0,56.36
Spotted Deer,91.97,15,2,0,1,1,1,45.35
Asian Elephant,98.97,7,2,1,1,1,2,58.26
Asian Elephant,68.25,20,5,0,2,1,0,62.2
Leopard,70.34,13,3,2,0,0,0,50.16
Wild Boar,85.85,13,1,0,0,2,2,42.76
Tiger,97.65,1,4,0,0,0,0,26.44
Wild Boar,95.72,20,1,0,0,0,1,41.58
Spotted Deer,79.61,4,6,0,1,1,0,38.67
Tiger,91.01,4,5,2,1,1,1,71.05
Leopard,65.29,4,0,0,2,2,1,38.49
Leopard,98.12,13,5,0,0,1,1,51.55
Tiger,97.61,2,2,1,1,2,2,61.36
Asian Elephant,66.39,15,3,0,1,0,0,42.13
Tiger,71.68,4,0,1,0,2,2,48.09
Spotted Deer,63.91,6,1,0,1,2,2,36.66
Asian Elephant,70.6,3,2,1,2,2,1,54.25
Leopard,91.82,7,4,0,2,0,2,51.66
Tiger,74.75,6,0,1,0,0,0,23.9
Wild Boar,63.45,3,2,0,2,1,2,43.59
Wild Boar,73.35,4,1,0,1,1,2,35.13
Spotted Deer,98.27,10,5,1,2,2,1,65.08
Wild Boar,84.56,9,1,0,1,2,1,39.71
Tiger,76.23,6,0,0,0,0,2,30.45
Tiger,66.5,20,0,0,0,0,1,37.96
Wild Boar,98.46,11,5,0,1,0,2,53.63
Tiger,92.01,7,0,2,1,2,0,51.76
Spotted Deer,70.98,18,3,0,2,2,0,53.94
Asian Elephant,62.73,4,4,2,1,0,1,47.72
Spotted Deer,62.21,5,2,2,0,2,0,41.21
Spotted Deer,64.69,4,5,0,1,0,0,30.2
Tiger,82.65,4,1,1,2,1,2,52.28
Asian Elephant,96.22,13,1,1,2,0,1,49.61
Tiger,79.37,16,4,0,1,2,0,59.99
Leopard,92.87,14,0,2,2,2,1,64.87
Tiger,77.39,11,0,1,2,2,1,60.88
Tiger,87.63,2,1,0,0,2,1,40.11
Tiger,88.54,14,4,0,1,0,0,48.85
Asian Elephant,66.78,7,1,2,0,0,1,41.0
Tiger,74.09,11,0,1,0,1,1,41.87
Asian Elephant,84.85,4,5,0,2,0,2,50.44
Wild Boar,62.76,7,2,1,0,1,2,42.95
Leopard,74.1,16,0,0,1,0,2,40.89
Asian Elephant,80.86,6,5,0,1,0,2,49.07
Wild Boar,98.85,6,2,0,1,2,1,45.43
Asian Elephant,78.51,2,6,2,0,1,2,64.64
Asian Elephant,91.83,8,3,2,1,2,2,73.65
Leopard,76.85,7,4,2,1,2,0,60.61
Spotted Deer,91.06,14,5,1,0,0,2,56.35
Spotted Deer,83.22,9,3,2,0,0,2,49.99
Asian Elephant,94.58,15,0,2,0,1,0,50.63
Tiger,76.03,18,6,1,0,1,1,69.4
Wild Boar,83.57,12,4,1,2,0,1,61.41
Tiger,84.57,19,5,1,0,1,0,58.43
Tiger,76.28,13,6,1,0,0,0,55.84
Asian Elephant,65.63,7,0,2,1,0,1,44.43
Asian Elephant,63.65,10,4,2,1,0,2,61.27
Asian Elephant,60.65,10,4,1,0,1,0,49.57
Asian Elephant,94.07,2,0,2,0,2,0,41.41
Spotted Deer,69.22,14,0,0,0,1,0,22.93
Asian Elephant,68.25,13,6,2,1,2,1,79.8
Spotted Deer,88.71,6,6,0,1,1,1,49.46
Spotted Deer,72.48,9,5,1,0,2,1,53.03
Asian Elephant,79.74,13,4,1,1,2,1,66.56
Leopard,66.34,9,5,2,1,1,1,67.15
Wild Boar,97.43,13,6,1,0,1,2,69.24
Tiger,93.21,5,4,2,1,2,2,75.26
Spotted Deer,93.69,14,5,2,0,0,1,54.89
Wild Boar,75.86,5,0,2,2,2,1,52.0
Leopard,89.73,9,0,2,2,2,1,63.98
Tiger,65.61,8,1,0,2,0,0,33.5
Tiger,60.34,7,6,0,1,2,0,52.85
Spotted Deer,60.78,8,5,1,2,0,1,51.15
Asian Elephant,82.88,3,1,0,1,0,1,29.9
Leopard,77.76,15,1,1,0,1,0,41.67
Spotted Deer,80.2,8,3,1,2,2,0,52.58
Leopard,60.29,1,4,2,1,2,0,50.83
Asian Elephant,76.48,7,2,2,2,0,0,47.32
Asian Elephant,88.0,19,3,2,1,2,0,75.6
Spotted Deer,77.27,2,6,2,1,0,1,49.97
Asian Elephant,88.56,14,4,2,0,2,1,68.04
Wild Boar,69.09,18,2,2,1,2,0,62.18
Tiger,91.71,15,1,0,1,0,1,44.34
Spotted Deer,82.95,14,2,1,2,0,0,43.15
Leopard,68.22,19,0,1,0,2,0,46.1
Wild Boar,69.23,19,6,2,1,2,0,74.34
Spotted Deer,84.49,17,0,0,2,0,1,39.57
Asian Elephant,92.37,19,5,2,0,1,1,71.76
Asian Elephant,76.21,16,4,0,1,1,1,56.46
Asian Elephant,70.07,20,3,0,2,2,1,66.76
Asian Elephant,93.81,19,6,1,0,2,2,82.13
Leopard,86.1,1,1,1,0,2,0,34.63
Wild Boar,77.48,19,6,0,0,0,0,46.06
Tiger,79.03,7,4,1,0,2,1,56.45
Leopard,67.97,11,1,0,1,2,1,42.95
Leopard,84.45,5,0,0,1,2,2,38.99
Tiger,73.99,17,6,0,0,1,0,56.66
Tiger,98.83,11,3,1,0,2,0,53.96
Asian Elephant,78.73,8,3,2,1,2,1,65.7
Leopard,78.95,10,0,1,2,0,1,43.71
Spotted Deer,82.07,12,2,2,0,1,2,52.22
Tiger,95.75,10,3,1,1,0,0,46.68
Tiger,91.23,13,2,1,1,2,2,67.5
Wild Boar,77.59,18,1,2,2,2,0,62.96
Spotted Deer,88.03,10,3,0,1,2,1,48.57
Spotted Deer,82.86,19,5,2,0,2,2,79.29
Tiger,79.2,20,0,0,1,2,1,56.03
Asian Elephant,67.5,17,6,0,0,0,0,48.66
Wild Boar,78.09,20,2,1,1,2,0,58.61
Spotted Deer,69.59,16,5,1,0,2,2,62.3
Tiger,95.68,5,1,1,0,1,1,44.06
Spotted Deer,73.08,3,1,1,1,1,0,31.25
Wild Boar,97.14,15,3,1,0,2,0,53.58
Wild Boar,80.79,2,3,2,1,2,2,61.59
Leopard,84.63,13,5,2,1,2,2,80.21
Tiger,81.17,8,4,2,1,2,1,70.39
Wild Boar,65.05,17,4,2,0,2,2,70.47
Leopard,74.66,4,3,1,1,2,0,46.8
Leopard,63.87,19,4,2,2,0,1,72.69
Spotted Deer,84.3,9,0,2,0,0,1,35.77
Spotted Deer,77.43,15,5,0,2,0,1,52.4
Leopard,90.34,9,0,1,2,1,0,39.51
Spotted Deer,68.6,9,4,2,2,2,2,71.53
Wild Boar,66.42,14,3,2,2,1,1,68.05
Asian Elephant,75.85,16,0,2,1,1,0,53.01
Wild Boar,96.14,17,1,1,2,1,2,66.74
Leopard,87.71,13,6,2,0,0,1,65.35
Leopard,76.34,9,3,0,2,2,2,60.89
Wild Boar,80.17,15,5,1,2,2,2,76.75
Spotted Deer,63.28,7,2,0,2,1,2,43.26
Spotted Deer,98.4,1,2,1,1,0,0,29.66
Leopard,85.99,1,3,2,2,1,1,56.9
Tiger,71.13,5,4,1,2,1,1,56.4
Spotted Deer,82.85,9,0,1,2,2,1,46.53
Wild Boar,64.27,12,0,1,0,0,0,25.05
Spotted Deer,97.67,6,3,0,1,2,2,50.03
Wild Boar,66.82,13,1,1,1,1,0,40.73
Leopard,85.27,8,5,2,1,2,1,73.34
Spotted Deer,69.57,15,4,1,0,1,2,51.93
Wild Boar,87.98,6,1,1,2,0,0,35.76
Leopard,90.3,6,3,2,0,2,0,52.36
Tiger,86.26,4,3,2,1,2,0,59.92
Wild Boar,83.97,11,1,0,1,2,0,35.25
Tiger,94.81,18,2,2,1,2,2,80.58
Tiger,63.07,3,3,2,0,2,0,49.66
Asian Elephant,72.91,3,5,2,1,0,2,62.04
Spotted Deer,69.68,12,6,1,2,0,0,53.84
Wild Boar,98.53,6,4,0,0,2,1,44.36
Tiger,75.19,6,1,2,2,1,0,48.76
Asian Elephant,88.57,8,2,2,1,1,0,51.79
Leopard,86.7,15,1,2,1,2,1,63.22
Wild Boar,68.27,18,2,1,0,2,2,57.81
Tiger,69.32,20,2,1,2,0,0,55.89
Spotted Deer,70.97,16,5,0,0,0,0,38.71
Asian Elephant,76.03,6,4,0,2,2,1,53.85
Tiger,69.14,17,3,1,1,2,2,68.96
Spotted Deer,60.77,9,2,2,0,1,1,42.61
Tiger,94.3,19,3,2,0,0,0,59.84
Wild Boar,97.66,18,4,0,2,2,2,72.47
Wild Boar,73.32,5,3,2,1,0,0,42.39
Wild Boar,73.2,6,5,1,1,2,1,58.37
Asian Elephant,60.28,12,5,0,2,2,0,59.13
Wild Boar,86.53,11,0,1,2,2,1,52.16
Spotted Deer,92.19,16,5,1,2,2,1,74.3
Tiger,65.72,20,2,2,2,1,2,79.03
Leopard,66.23,17,4,1,2,2,1,74.59
Spotted Deer,90.81,20,5,1,1,1,2,71.64
Spotted Deer,84.04,9,1,2,1,1,2,50.89
Wild Boar,61.75,1,4,1,0,2,2,45.15
Asian Elephant,84.28,3,2,2,1,0,2,54.91
Tiger,72.05,9,4,1,2,0,2,61.55
Asian Elephant,74.38,19,5,2,1,2,1,82.32
Tiger,90.02,13,1,2,1,2,1,65.98
Tiger,91.63,14,0,0,1,2,2,57.74
Asian Elephant,75.61,20,2,1,0,0,1,51.02
Spotted Deer,96.94,19,6,1,0,0,2,61.48
Tiger,75.85,7,2,0,2,2,1,52.17
Asian Elephant,90.1,4,4,2,2,0,2,68.44
Tiger,78.87,12,6,2,0,1,0,64.68
Leopard,95.0,14,6,0,1,0,0,49.36
Spotted Deer,95.4,2,3,0,1,0,2,36.0
Wild Boar,63.41,1,6,2,0,2,1,56.48
Tiger,96.52,18,3,2,2,1,2,81.28
Leopard,92.2,20,6,0,1,2,1,71.24
Wild Boar,90.86,8,1,1,2,0,2,50.23
Wild Boar,67.84,3,0,2,1,1,2,46.78
Tiger,91.4,6,0,0,2,2,1,47.71
Asian Elephant,93.16,13,6,1,1,0,1,62.59
Tiger,71.28,9,4,1,2,1,2,69.97
Leopard,97.14,9,4,1,2,2,0,64.96
Wild Boar,61.94,20,3,1,2,1,0,60.61
Tiger,65.85,9,5,0,0,0,0,36.21
Asian Elephant,80.97,15,0,2,2,2,0,61.39
Tiger,82.46,13,5,1,0,0,0,52.61
Spotted Deer,85.16,16,0,1,0,1,1,40.82
Asian Elephant,60.66,2,5,0,2,0,0,36.66
Leopard,97.45,14,5,1,0,1,1,65.4
Wild Boar,61.74,6,0,0,0,2,0,22.88
Tiger,65.58,2,1,0,0,0,1,24.88
Asian Elephant,60.55,8,1,2,1,2,0,48.86
Spotted Deer,82.11,4,4,1,2,2,0,51.02
Asian Elephant,96.36,14,5,2,0,2,1,72.74
Spotted Deer,85.97,11,5,0,2,2,1,59.24
Leopard,92.08,14,5,1,0,0,2,62.14
Wild Boar,60.52,12,5,0,2,0,0,46.71
Leopard,81.14,16,5,0,0,2,0,52.84
Tiger,77.92,6,3,0,1,2,1,46.6
Asian Elephant,79.46,20,2,1,1,1,1,62.25
Spotted Deer,62.82,1,5,0,1,2,0,35.17
Spotted Deer,86.69,12,3,0,0,1,0,32.56
Asian Elephant,79.63,7,1,1,2,1,1,48.45
Asian Elephant,89.84,8,5,2,0,2,1,68.32
Tiger,78.93,9,1,0,1,0,0,31.69
Leopard,65.83,2,4,2,0,1,1,52.13
Spotted Deer,85.28,17,2,2,2,0,1,55.81
Tiger,66.72,20,0,2,1,2,0,60.16
Leopard,94.02,13,2,2,0,2,2,68.89
Tiger,83.91,5,5,2,2,2,1,72.27
Spotted Deer,66.13,10,5,2,1,2,2,68.95
Asian Elephant,97.53,12,2,1,2,1,1,65.67
Asian Elephant,80.22,17,2,1,2,1,2,68.14
Leopard,62.84,6,4,2,1,0,1,55.04
Wild Boar,84.45,3,6,1,0,0,2,47.21
Leopard,69.87,15,1,1,0,1,2,52.44
Wild Boar,91.34,7,0,2,0,2,1,47.2
Tiger,91.9,6,6,2,0,0,2,67.61
Tiger,98.18,4,2,0,2,1,0,43.62
Spotted Deer,79.57,19,0,1,0,0,0,30.92
Wild Boar,77.74,5,2,2,0,1,0,41.85
Spotted Deer,89.39,3,1,1,2,2,2,48.3
Asian Elephant,65.17,9,0,1,2,1,1,47.21
Wild Boar,81.33,6,6,1,1,0,2,59.21
Leopard,81.3,13,3,0,2,1,1,53.59
Asian Elephant,63.49,20,1,2,1,0,2,61.8
Asian Elephant,76.3,4,6,1,1,0,1,52.62
Leopard,93.28,2,0,2,0,0,2,42.39
Asian Elephant,93.39,4,2,1,0,2,2,54.26
Wild Boar,63.87,8,6,2,0,2,0,61.96
Spotted Deer,63.54,13,2,2,2,1,2,66.14
Asian Elephant,70.25,10,1,2,2,1,0,54.66
Wild Boar,94.12,18,1,1,0,0,1,45.56
Tiger,65.03,9,6,0,0,2,1,52.66
Wild Boar,88.08,1,2,2,2,1,0,46.45
Spotted Deer,63.95,13,0,0,1,1,2,37.53
Wild Boar,84.3,18,6,2,1,2,1,84.85
Leopard,73.89,15,3,0,0,0,2,43.19
Spotted Deer,90.77,2,4,2,0,1,2,52.09
Tiger,69.11,11,1,0,0,0,2,41.82
Leopard,84.93,14,2,2,1,2,1,67.69
Wild Boar,69.19,15,0,2,0,2,1,56.07
Spotted Deer,87.83,14,1,0,1,1,2,44.6
Tiger,94.07,16,0,2,2,1,0,63.49
Leopard,64.95,15,1,1,2,2,0,53.65
Tiger,93.8,19,2,2,2,0,0,63.78
Wild Boar,83.15,9,0,2,0,0,2,45.41
Tiger,64.96,5,2,1,2,2,0,52.42
Asian Elephant,76.67,5,0,1,1,1,1,39.76
Leopard,66.27,11,1,1,1,2,0,43.98
Tiger,87.31,20,4,0,1,1,0,58.12
Wild Boar,89.6,4,4,1,0,0,2,44.39
Wild Boar,64.13,20,6,0,0,1,1,56.49
Tiger,79.74,18,3,1,1,0,1,60.49
Wild Boar,91.77,3,3,0,1,2,0,40.49
Spotted Deer,96.51,4,6,1,1,1,2,59.75
Spotted Deer,80.03,14,6,1,1,0,2,62.46
Spotted Deer,97.06,7,5,2,2,1,0,61.65
Asian Elephant,80.89,8,2,1,1,0,1,44.5
Tiger,75.37,16,0,2,0,0,1,48.31
Asian Elephant,93.08,20,3,1,0,2,1,66.83
Wild Boar,79.23,15,1,1,0,2,2,56.79
Asian Elephant,78.4,7,6,2,0,1,0,59.13
Wild Boar,79.12,17,4,2,0,0,2,62.94
Wild Boar,93.02,12,0,0,1,2,1,40.84
Leopard,92.45,18,5,2,1,1,2,80.92
Spotted Deer,75.74,14,4,0,2,2,1,55.06
Wild Boar,73.0,15,6,1,2,1,0,71.95
Leopard,79.19,15,0,2,2,2,1,64.7
Spotted Deer,82.34,5,6,2,1,2,0,60.79
Wild Boar,69.3,16,3,1,2,0,2,61.52
Wild Boar,90.96,5,3,1,1,0,2,51.3
Asian Elephant,78.97,2,2,1,0,2,2,49.46
Asian Elephant,73.03,20,5,1,1,0,1,66.69
Spotted Deer,64.17,9,0,2,1,2,0,42.88
Wild Boar,69.31,9,5,1,0,1,2,56.91
Tiger,97.02,4,1,1,0,2,2,52.22
Asian Elephant,71.9,15,5,2,0,2,0,66.94
Spotted Deer,66.59,11,6,0,2,1,1,53.01
Wild Boar,77.97,1,6,2,2,1,2,70.42
Wild Boar,71.98,18,3,0,2,0,1,50.46
Tiger,61.37,1,2,1,0,1,1,37.71
Spotted Deer,72.6,8,6,2,2,0,1,60.46
Wild Boar,81.22,16,3,1,0,2,2,60.27
Asian Elephant,81.52,18,4,2,0,1,2,71.53
